height,version,mrkl_root,timestamp,Time Interval,Date,bits,Bitcoins,nonce,hash,prev_block_hash,next_block_hash,size,pool_difficulty,difficulty,difficulty_double,tx_count,reward_block,reward_fees,confirmations,is_orphan,curr_max_timestamp,is_sw_block,stripped_size,sigops,weight,extras/pool_name,extras/pool_link
797344,536977408,b0e596942ad5e3a82376fd5be2a4e2c56a3093d905e24fca00e349db270f036b,1688587929,524,7/5/23,386240190,386,161581869,0000000000000000000487295aa599c402442d1868e44d9dd9d7d9da7aaef94e,00000000000000000004078d6555cbef36e9f862e6a14c673c59c534334a4458,0000000000000000000487295aa599c402442d1868e44d9dd9d7d9da7aaef94e,1681316,6.22E+13,5.06E+13,5.06E+13,2558,625000000,17350085,2115,FALSE,1688587929,TRUE,770557,13597,3992987,Foundry USA,https://foundrydigital.com/
797343,1073733632,35aedebf9b621824ef7697de6e012cce5e8d1ce49e8dea51579a5cc48194a3b8,1688587405,1007,7/5/23,386240190,386,725715815,00000000000000000004078d6555cbef36e9f862e6a14c673c59c534334a4458,00000000000000000004839468ad880acd62815d96fc14e6f020aaced1ac7576,00000000000000000004725d938bc0e7718bc8804b3a6a99dd5b156d21d0d7d2,1318254,6.99E+13,5.06E+13,5.06E+13,2086,625000000,21409636,2116,FALSE,1688587405,TRUE,891589,11557,3993021,Foundry USA,https://foundrydigital.com/
797342,547356672,3438b19e85908c12a0e3835fb400a5e45dab6083e64071874a9e22aeec545499,1688586398,229,7/5/23,386240190,386,2702426754,00000000000000000004839468ad880acd62815d96fc14e6f020aaced1ac7576,000000000000000000051761c75d975d7645a4a48303dfc4110299a5a26bccbf,00000000000000000004078d6555cbef36e9f862e6a14c673c59c534334a4458,2638334,6.24E+13,5.06E+13,5.06E+13,2328,625000000,8715431,2117,FALSE,1688586398,TRUE,453210,4847,3997964,F2Pool,https://www.f2pool.com/
797341,537042944,8e14c701f8497df017d37a7a69ca5a8adbdb4e7f72d6d90b8eb2ada75d80681a,1688586169,401,7/5/23,386240190,386,2569577812,000000000000000000051761c75d975d7645a4a48303dfc4110299a5a26bccbf,00000000000000000002eccf80bc0e23e6268d7348dee1d26a88d6b4b8d4d79c,000000000000000000020fa709829b479a634a06d21b4fa7bc8837cd9ac61116,2252666,5.53E+13,5.06E+13,5.06E+13,2065,625000000,12071055,2118,FALSE,1688586169,TRUE,580186,13884,3993224,AntPool,https://www.antpool.com/
797340,596762624,3fd002e63011e5f9ce959f63aab7353d39e93b73fd723b6fb16879ca4ee9bcf3,1688585768,481,7/5/23,386240190,386,2288938563,00000000000000000002eccf80bc0e23e6268d7348dee1d26a88d6b4b8d4d79c,00000000000000000002301167df69230243e6857dac7359eba131d4f240263d,00000000000000000002416cb404a5c5bb2a371ed8bc3c55b9f777a96adda0cc,1857232,9.62E+13,5.06E+13,5.06E+13,2897,625000000,12494002,2119,FALSE,1688585768,TRUE,712070,14321,3993442,AntPool,https://www.antpool.com/
797339,543162368,c5dd59f7f514d0198fbf4bab5e120e6288807845d614dab43dd4ffc288d39476,1688585287,368,7/5/23,386240190,386,4092479758,00000000000000000002301167df69230243e6857dac7359eba131d4f240263d,00000000000000000004273ec76e06934a5e0bf5938d6950c26b6e3aac1d54c9,00000000000000000000e4af4ca734a59e15365a869522fb5fe403eb76c17529,1571488,1.29E+14,5.06E+13,5.06E+13,1857,625000000,12982948,2120,FALSE,1688585287,TRUE,807195,9985,3993073,Foundry USA,https://foundrydigital.com/
797338,536870912,4d0c61f0d13cd2b639288f890f735c6dc753aab7a617242c687fc4d0e467651d,1688584919,78,7/5/23,386240190,386,669934440,00000000000000000004273ec76e06934a5e0bf5938d6950c26b6e3aac1d54c9,00000000000000000002e9f61670b90fc42e097d303101288c84e1dc3c3ffe53,00000000000000000002e9f61670b90fc42e097d303101288c84e1dc3c3ffe53,1690819,6.78E+13,5.06E+13,5.06E+13,1032,625000000,9390638,2121,FALSE,1688584919,TRUE,767333,9383,3992818,unknown,
797337,581427200,b98b5ff96e10ffbaab8bf6964cc2fd1ddf40e4164b70bdefbacb6ee6c139773e,1688584841,558,7/5/23,386240190,386,1138078228,00000000000000000002e9f61670b90fc42e097d303101288c84e1dc3c3ffe53,0000000000000000000129105de6e346860bc4a34092b22db35ba42e70088689,00000000000000000004f2e02e7e54ef95ce3c2f6dfce1c2c8162ae6128613e6,1654205,9.66E+13,5.06E+13,5.06E+13,2997,625000000,15731080,2122,FALSE,1688584841,TRUE,779536,11832,3992813,Foundry USA,https://foundrydigital.com/
797336,536985600,6b7e9fbbd8e0f759f87f8bdc831185214b5536cf683722b854f41d9d0b3ab008,1688584283,65,7/5/23,386240190,386,1930929538,0000000000000000000129105de6e346860bc4a34092b22db35ba42e70088689,00000000000000000005799ade7485b260f6350b5e48af1c1d3b38a05c4937a6,00000000000000000002e9f61670b90fc42e097d303101288c84e1dc3c3ffe53,1773116,2.43E+14,5.06E+13,5.06E+13,2783,625000000,11615090,2123,FALSE,1688584283,TRUE,739864,12178,3992708,Foundry USA,https://foundrydigital.com/
797335,869572608,844f5d8a2dec6363e717e5cad7e1ae43c9b9de33e228b0624c5113484510a81f,1688584218,708,7/5/23,386240190,386,2449604916,00000000000000000005799ade7485b260f6350b5e48af1c1d3b38a05c4937a6,00000000000000000003dccd45b7c279bd4f32f2fd3047bab696fba79653b761,0000000000000000000129105de6e346860bc4a34092b22db35ba42e70088689,1667896,5.14E+13,5.06E+13,5.06E+13,2642,625000000,17908562,2124,FALSE,1688584218,TRUE,775054,11804,3993058,Foundry USA,https://foundrydigital.com/
797334,1073733632,df866d29623fcf10b7e8e346deae966e4877a9f369462e8a07f4f69e5cac4ad0,1688583510,937,7/5/23,386240190,386,119480029,00000000000000000003dccd45b7c279bd4f32f2fd3047bab696fba79653b761,000000000000000000020fa709829b479a634a06d21b4fa7bc8837cd9ac61116,00000000000000000003dccd45b7c279bd4f32f2fd3047bab696fba79653b761,1565706,7.29E+13,5.06E+13,5.06E+13,2861,625000000,21094670,2125,FALSE,1688583510,TRUE,809229,15264,3993393,AntPool,https://www.antpool.com/
797333,726433792,a1453e7b5d561ab6dc8920b399ef094ad5437a468988cfe4111e2a15af0daa45,1688582573,581,7/5/23,386240190,386,4287458832,000000000000000000020fa709829b479a634a06d21b4fa7bc8837cd9ac61116,00000000000000000001b83b3b0d8fcf2b6b3e011c8605be840f676e3ffa4397,00000000000000000003dccd45b7c279bd4f32f2fd3047bab696fba79653b761,1570313,1.37E+14,5.06E+13,5.06E+13,2343,625000000,18636359,2126,FALSE,1688582573,TRUE,809221,17480,3997976,F2Pool,https://www.f2pool.com/
797332,536944640,7a43a4373b2150845608ed53b6f041372095a3d17b2a7342aef21cbe7afe6c11,1688581992,305,7/5/23,386240190,386,2910312829,00000000000000000001b83b3b0d8fcf2b6b3e011c8605be840f676e3ffa4397,00000000000000000002416cb404a5c5bb2a371ed8bc3c55b9f777a96adda0cc,0000000000000000000415441c4a6cccb4056d9950a3acbc5db27e3c09dc4306,1381273,1.64E+14,5.06E+13,5.06E+13,2327,625000000,16485640,2127,FALSE,1688581992,TRUE,872256,8389,3998041,F2Pool,https://www.f2pool.com/
797331,575512576,686b80e61ea69e5f24a159b2d69b5ad3379d9ddb0ed9205592aa7984d0b5cf3a,1688581687,1464,7/5/23,386240190,386,209392284,00000000000000000002416cb404a5c5bb2a371ed8bc3c55b9f777a96adda0cc,00000000000000000001adc3f1751d9bdccce807fd5f03f398682372116f59e2,000000000000000000002e7f8de8c4a74b073378c33524b4077b2259e81e6e1f,1538185,1.25E+14,5.06E+13,5.06E+13,3443,625000000,26415899,2128,FALSE,1688581687,TRUE,818177,18903,3992716,Foundry USA,https://foundrydigital.com/
797330,1073733632,648df97094e0a3c5ee7404ce6751b87c8c132a41d63feab64640f33fa767175b,1688580223,354,7/5/23,386240190,386,436769716,00000000000000000001adc3f1751d9bdccce807fd5f03f398682372116f59e2,000000000000000000007099b5b874e3b9d5845fd9de24439b4ce305e4eed2ed,00000000000000000001c51e82833a06aa7a8c9e736fe76fb194ce8f22d4a5fb,1385369,1.68E+14,5.06E+13,5.06E+13,1271,625000000,17880453,2129,FALSE,1688580223,TRUE,869148,7832,3992813,Foundry USA,https://foundrydigital.com/
797329,671080448,58d2d735f739fd90ef704c5d4be4449d9d48539db67259df12ae4bfbfa121213,1688579869,884,7/5/23,386240190,386,764354944,000000000000000000007099b5b874e3b9d5845fd9de24439b4ce305e4eed2ed,00000000000000000003c7c34a814af5842fa974bd2477ec3819166710c52c30,0000000000000000000495404cf4f2f13e159471406da8f706ffe68bbb398c1b,1606596,6.40E+14,5.06E+13,5.06E+13,3119,625000000,19808522,2130,FALSE,1688579869,TRUE,795599,15578,3993393,ViaBTC,https://viabtc.com
