,Date,priceUSD,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusdUSD,transactionfeesUSD,median_transaction_feeUSD,confirmationtime,transactionvalueUSD,mediantransactionvalueUSD,activeaddresses,top100cap,fee_to_rewardUSD,extras/pool_name
3891,3/13/21,58772,276929,853246,494888,2.14E+13,1.55E+20,0.384,26945740122,24.808,11.456,10.07,254221,1119,925503,14.158,11.572,ViaBTC
3909,3/31/21,58700,332592,883290,607613,2.19E+13,1.64E+20,0.389,30294388402,18.084,8.787,9.172,240534,980.646,1050294,14.331,9.459,Poolin
4143,11/20/21,58631,249507,585914,480018,2.27E+13,1.57E+20,0.342,31949323098,3.047,0.74,9.931,823777,625.183,750953,14.717,1.411,AntPool
3947,5/8/21,58527,274520,894631,540728,2.06E+13,1.81E+20,0.373,24933917376,18.595,7.739,8.421,293405,950.95,974819,14.945,7.55,Foundry USA
3896,3/18/21,58477,331566,884838,612756,2.14E+13,1.50E+20,0.425,26842688639,24.206,11.996,9.474,230138,998.345,1021309,14.299,12.627,Foundry USA
3915,4/6/21,58460,309421,884008,571802,2.31E+13,1.68E+20,0.351,44551728737,20.105,9.613,10,399032,1057,1029256,14.235,10.578,Luxor
3908,3/30/21,58349,320944,885075,575416,2.19E+13,1.61E+20,0.365,27082239353,17.563,9.001,9.863,272247,1008,1000015,14.332,9.577,Foundry USA
3897,3/19/21,58278,316032,890748,585917,2.15E+13,1.61E+20,0.377,25479542219,21.453,10.283,9.73,226492,949.944,997809,14.314,11.177,ViaBTC
3918,4/9/21,58209,324568,888748,598986,2.31E+13,1.52E+20,0.407,33237308602,20.873,9.472,9.474,285991,932.189,1045474,14.323,10.919,Foundry USA
4148,11/25/21,58177,287366,685504,536543,2.27E+13,1.62E+20,0.297,1.10E+11,3.008,0.896,11.077,1065622,711.029,851445,14.644,1.797,ViaBTC
3914,4/5/21,58085,288890,862111,527581,2.31E+13,1.71E+20,0.363,31203908995,18.992,8.591,9.231,352131,988.352,1040641,14.278,8.837,AntPool
3948,5/9/21,57981,247680,856554,482269,2.06E+13,1.87E+20,0.383,23667105476,16.394,6.871,7.742,254195,884.45,1081356,14.949,5.686,ViaBTC
3942,5/3/21,57912,286830,836599,524379,2.06E+13,1.81E+20,0.389,33410008177,22.395,10.556,8.136,435999,1044,1053210,14.847,9.118,AntPool
3940,5/1/21,57787,262852,882992,482619,2.30E+13,1.57E+20,0.357,16102325162,22.45,9.552,10.36,353558,838.394,885897,14.805,10.523,Foundry USA
3949,5/10/21,57763,303117,873492,585547,2.06E+13,1.90E+20,0.373,35571721390,19.25,8.25,8,269256,1092,1144292,14.995,8.244,Binance Pool
3913,4/4/21,57705,245861,874973,413606,2.31E+13,1.66E+20,0.341,15740704522,15.771,7.212,9.863,271675,744.38,893180,14.321,6.863,AntPool
4106,10/14/21,57661,282246,751365,536993,1.99E+13,1.55E+20,0.324,44916567805,3.328,1.077,10.511,559810,817.672,807308,14.687,1.868,AntPool
4152,11/29/21,57563,301154,662325,539535,2.23E+13,1.61E+20,0.324,53588226615,2.128,0.534,10.07,793897,748.183,857331,14.539,1.231,BTC.com
4154,12/1/21,57373,288285,852915,538675,2.23E+13,1.45E+20,0.346,69601863241,4.092,1.42,10.511,750398,845.407,936971,14.599,2.346,ViaBTC
4145,11/22/21,57360,279024,679292,477579,2.27E+13,1.58E+20,0.325,45135932723,2.53,0.577,10.213,890870,731.825,800554,14.677,1.378,AntPool
4153,11/30/21,57338,293742,663480,560218,2.23E+13,1.63E+20,0.3,75230737020,2.467,0.748,10.746,831774,797.504,794425,14.455,1.487,Foundry USA
3899,3/21/21,57303,234780,846739,410038,2.19E+13,1.66E+20,0.358,17533683606,14.866,5.512,9.231,271008,835.452,936115,14.369,5.883,extras/pool_name
3917,4/8/21,57176,278400,883754,533551,2.31E+13,1.80E+20,0.296,34178632541,18.808,9.433,10.746,308327,993.544,976554,14.277,9.861,Foundry USA
4142,11/19/21,57169,284582,705811,544917,2.27E+13,1.64E+20,0.304,53544805999,2.652,0.766,10.511,924911,785.302,844070,14.697,1.519,AntPool
3893,3/15/21,57111,292083,870500,543887,2.14E+13,1.61E+20,0.37,33369754964,22.263,11.511,9.73,256907,1118,987942,14.297,10.89,Foundry USA
3871,2/21/21,57022,271504,849622,445972,2.17E+13,1.56E+20,0.363,29842416283,24.174,10.696,10.213,374617,1085,923185,13.926,11.558,F2Pool
3916,4/7/21,56977,321162,888534,591527,2.31E+13,1.72E+20,0.359,33924614678,17.927,8.521,9.172,301682,958.7,1058938,14.26,9.341,Binance Pool
3945,5/6/21,56974,311210,870005,626069,2.06E+13,1.66E+20,0.403,32123009753,20.05,9.467,8.471,331015,1019,1024306,14.906,9.349,AntPool
3907,3/29/21,56910,303154,877636,533464,2.19E+13,1.66E+20,0.352,30355000226,15.159,7.928,9.536,301762,1042,911249,14.327,7.886,Binance Pool
